host_is_superhost,date,price
No,2020-09-01,63.65093427835052
No,2020-09-02,63.63804768041237
No,2020-09-03,63.928479381443296
No,2020-09-04,65.69885631443299
No,2020-09-05,65.98630798969072
No,2020-09-06,64.46593105670104
No,2020-09-07,64.21230670103093
No,2020-09-08,64.21641430412372
No,2020-09-09,64.27931701030928
No,2020-09-10,64.39392719072166
No,2020-09-11,66.02593427835052
No,2020-09-12,66.07901095360825
No,2020-09-13,64.43242590206185
No,2020-09-14,64.35132087628865
No,2020-09-15,64.44579574742268
No,2020-09-16,64.57297036082474
No,2020-09-17,64.75805412371135
No,2020-09-18,66.85558956185567
No,2020-09-19,66.90294780927834
No,2020-09-20,65.20739368556701
No,2020-09-21,65.2488724226804
No,2020-09-22,65.13321520618557
No,2020-09-23,65.13804768041237
No,2020-09-24,65.66728414948453
No,2020-09-25,67.53922358247422
No,2020-09-26,67.76618878865979
No,2020-09-27,65.87508054123711
No,2020-09-28,65.07401739690722
No,2020-09-29,64.88861146907216
No,2020-09-30,64.84689110824742
No,2020-10-01,65.11823453608247
No,2020-10-02,66.73115335051547
No,2020-10-03,66.81096971649484
No,2020-10-04,65.17421069587628
No,2020-10-05,65.1159793814433
No,2020-10-06,65.15077319587628
No,2020-10-07,65.14811533505154
No,2020-10-08,65.29115657216495
No,2020-10-09,66.72736791237114
No,2020-10-10,66.78358569587628
No,2020-10-11,65.21319265463917
No,2020-10-12,65.21432023195877
No,2020-10-13,65.27633698453609
No,2020-10-14,65.26465850515464
No,2020-10-15,65.32458118556701
No,2020-10-16,66.79526417525773
No,2020-10-17,66.80605670103093
No,2020-10-18,65.05331829896907
No,2020-10-19,64.93484213917526
No,2020-10-20,64.97801224226804
No,2020-10-21,64.98671069587628
No,2020-10-22,65.11493234536083
No,2020-10-23,66.64336340206185
No,2020-10-24,66.65198131443299
No,2020-10-25,65.02512886597938
No,2020-10-26,64.92115012886597
No,2020-10-27,64.96850837628865
No,2020-10-28,65.00016108247422
No,2020-10-29,65.09890463917526
No,2020-10-30,66.67235824742268
No,2020-10-31,66.73083118556701
No,2020-11-01,64.56902384020619
No,2020-11-02,64.43741945876289
No,2020-11-03,64.48107280927834
No,2020-11-04,64.51353092783505
No,2020-11-05,64.61887886597938
No,2020-11-06,66.15125644329896
No,2020-11-07,66.24621456185567
No,2020-11-08,64.54792203608247
No,2020-11-09,64.45264175257732
No,2020-11-10,64.49693943298969
No,2020-11-11,64.49621456185567
No,2020-11-12,64.61775128865979
No,2020-11-13,66.1760631443299
No,2020-11-14,66.19933956185567
No,2020-11-15,64.54437822164948
No,2020-11-16,64.41808956185567
No,2020-11-17,64.44917847938144
No,2020-11-18,64.46335373711341
No,2020-11-19,64.54768041237114
No,2020-11-20,66.19490979381443
No,2020-11-21,66.21182345360825
No,2020-11-22,64.5612918814433
No,2020-11-23,64.41027706185567
No,2020-11-24,64.50805412371135
No,2020-11-25,64.5666881443299
No,2020-11-26,64.70256121134021
No,2020-11-27,66.32361469072166
No,2020-11-28,66.3323131443299
No,2020-11-29,64.58005798969072
