price,review_scores_rating,availability_90,neighbourhood_group_cleansed,host_acceptance_rate,host_response_time,host_identity_verified,host_has_profile_pic,number_of_reviews,instant_bookable,host_is_superhost
30,98.0,4,Friedrichshain-Kreuzberg,100,within an hour,Yes,Yes,73,Yes,Yes
35,96.0,40,Treptow - Köpenick,97,within an hour,Yes,Yes,30,No,Yes
32,98.0,0,Pankow,,,No,Yes,8,No,No
9,100.0,0,Mitte,,,No,Yes,1,No,No
50,96.0,87,Marzahn - Hellersdorf,53,within a day,No,Yes,5,No,No
45,95.0,0,Friedrichshain-Kreuzberg,56,within a few hours,No,Yes,46,No,Yes
129,96.0,83,Mitte,100,,Yes,Yes,30,No,No
50,91.0,88,Friedrichshain-Kreuzberg,63,within an hour,Yes,Yes,11,No,No
99,88.0,0,Pankow,83,,Yes,Yes,26,Yes,No
22,100.0,0,Lichtenberg,100,,Yes,Yes,1,Yes,Yes
75,95.0,63,Tempelhof - Schöneberg,86,within a few hours,Yes,Yes,4,Yes,No
50,100.0,87,Pankow,,,No,Yes,7,No,No
42,96.0,18,Lichtenberg,100,,Yes,Yes,17,Yes,No
90,97.0,0,Friedrichshain-Kreuzberg,50,,No,Yes,6,No,No
49,99.0,0,Mitte,100,,No,Yes,22,Yes,No
36,100.0,0,Neukölln,,,Yes,Yes,2,No,No
20,95.0,23,Neukölln,96,within a day,No,Yes,93,No,Yes
30,100.0,0,Mitte,,,No,Yes,2,Yes,No
18,98.0,0,Friedrichshain-Kreuzberg,100,within a few hours,No,Yes,40,No,Yes
36,100.0,0,Pankow,,,Yes,Yes,3,Yes,No
41,96.0,0,Reinickendorf,95,,Yes,Yes,156,No,Yes
150,98.0,0,Friedrichshain-Kreuzberg,92,,Yes,Yes,24,No,Yes
346,100.0,15,Charlottenburg-Wilm.,33,,Yes,Yes,7,No,No
20,96.0,0,Neukölln,,,Yes,Yes,27,No,No
65,90.0,2,Friedrichshain-Kreuzberg,100,within an hour,Yes,Yes,4,Yes,No
109,93.0,57,Pankow,100,,Yes,Yes,17,No,No
34,100.0,0,Neukölln,,,No,No,1,Yes,No
73,100.0,72,Pankow,98,within an hour,Yes,Yes,2,No,Yes
76,96.0,50,Neukölln,99,within an hour,Yes,Yes,199,No,Yes
110,100.0,74,Friedrichshain-Kreuzberg,0,,Yes,Yes,2,No,No
63,94.0,73,Charlottenburg-Wilm.,75,within a few hours,Yes,Yes,33,No,No
50,97.0,3,Friedrichshain-Kreuzberg,89,within a day,Yes,Yes,9,No,No
26,97.0,0,Charlottenburg-Wilm.,0,,No,No,6,No,No
26,88.0,54,Pankow,99,within an hour,Yes,Yes,36,Yes,No
20,87.0,89,Mitte,99,within an hour,Yes,Yes,70,Yes,No
23,100.0,0,Friedrichshain-Kreuzberg,,,Yes,Yes,1,Yes,No
110,100.0,90,Pankow,33,within a few hours,No,Yes,1,Yes,No
80,85.0,0,Charlottenburg-Wilm.,69,,Yes,Yes,4,Yes,No
29,91.0,60,Mitte,100,within an hour,Yes,Yes,28,Yes,No
112,100.0,89,Charlottenburg-Wilm.,,,Yes,Yes,3,No,No
59,88.0,89,Friedrichshain-Kreuzberg,45,a few days or more,Yes,Yes,10,No,No
55,94.0,0,Friedrichshain-Kreuzberg,100,,No,Yes,45,Yes,Yes
30,98.0,26,Steglitz - Zehlendorf,97,within a few hours,Yes,Yes,170,No,Yes
440,100.0,2,Treptow - Köpenick,100,,Yes,Yes,1,Yes,No
24,95.0,0,Pankow,50,within a day,Yes,Yes,25,No,Yes
40,93.0,0,Mitte,,,Yes,Yes,3,Yes,No
60,100.0,0,Mitte,57,,Yes,Yes,2,Yes,No
48,100.0,0,Friedrichshain-Kreuzberg,,,Yes,Yes,10,No,No
30,96.0,16,Treptow - Köpenick,100,within an hour,No,Yes,42,Yes,Yes
130,90.0,27,Friedrichshain-Kreuzberg,67,within a few hours,Yes,Yes,3,No,No
40,87.0,25,Mitte,100,within a few hours,Yes,Yes,9,Yes,No
39,89.0,89,Tempelhof - Schöneberg,0,within a day,Yes,Yes,8,Yes,No
37,98.0,0,Friedrichshain-Kreuzberg,,,Yes,Yes,8,No,No
79,99.0,83,Mitte,75,within a few hours,Yes,Yes,66,No,Yes
38,98.0,90,Pankow,41,within a day,Yes,Yes,32,No,Yes
28,98.0,84,Neukölln,100,within an hour,Yes,Yes,112,Yes,Yes
76,98.0,0,Charlottenburg-Wilm.,95,within a few hours,No,Yes,44,No,Yes
70,100.0,87,Mitte,50,,No,Yes,3,Yes,No
29,96.0,0,Neukölln,,,No,Yes,29,Yes,No
92,87.0,57,Friedrichshain-Kreuzberg,77,within a day,Yes,Yes,29,No,No
74,93.0,86,Pankow,50,within a few hours,No,Yes,17,No,No
194,96.0,48,Friedrichshain-Kreuzberg,81,within an hour,Yes,Yes,25,Yes,Yes
62,88.0,26,Mitte,100,within an hour,Yes,Yes,328,Yes,No
25,93.0,0,Reinickendorf,75,within a day,No,Yes,18,Yes,No
34,90.0,42,Charlottenburg-Wilm.,100,within an hour,Yes,Yes,6,Yes,No
92,100.0,44,Friedrichshain-Kreuzberg,40,,No,Yes,15,No,No
35,96.0,0,Friedrichshain-Kreuzberg,89,within an hour,Yes,Yes,5,Yes,No
30,98.0,1,Lichtenberg,67,within a few hours,Yes,Yes,21,Yes,No
35,89.0,0,Friedrichshain-Kreuzberg,100,,Yes,Yes,13,No,No
50,80.0,0,Charlottenburg-Wilm.,0,,No,Yes,1,Yes,No
45,96.0,0,Mitte,60,within a few hours,No,Yes,11,No,No
55,80.0,0,Neukölln,,,Yes,Yes,1,No,No
50,94.0,90,Friedrichshain-Kreuzberg,48,within an hour,No,Yes,60,No,No
92,96.0,29,Pankow,70,within a day,Yes,Yes,206,No,No
90,99.0,0,Friedrichshain-Kreuzberg,,,No,Yes,16,No,No
60,100.0,0,Pankow,33,,Yes,Yes,1,No,No
39,96.0,1,Mitte,70,within an hour,Yes,Yes,22,No,No
37,97.0,71,Charlottenburg-Wilm.,100,within an hour,Yes,Yes,71,Yes,No
90,98.0,0,Pankow,,,Yes,Yes,10,No,No
170,98.0,1,Charlottenburg-Wilm.,0,,Yes,Yes,22,No,No
38,90.0,0,Lichtenberg,50,within a day,Yes,Yes,2,Yes,Yes
38,96.0,45,Pankow,100,within an hour,Yes,Yes,153,Yes,Yes
33,98.0,84,Neukölln,98,within an hour,No,Yes,20,No,Yes
50,74.0,90,Pankow,100,within an hour,No,Yes,7,Yes,No
26,80.0,0,Neukölln,,,No,Yes,7,No,No
61,92.0,16,Friedrichshain-Kreuzberg,96,,No,Yes,13,Yes,No
40,90.0,0,Mitte,,,No,Yes,2,No,No
45,95.0,16,Neukölln,100,within an hour,Yes,Yes,16,Yes,No
83,95.0,59,Friedrichshain-Kreuzberg,99,within an hour,Yes,Yes,8,Yes,Yes
125,96.0,59,Pankow,93,within an hour,No,Yes,43,Yes,Yes
120,60.0,59,Charlottenburg-Wilm.,100,within a few hours,Yes,Yes,1,Yes,No
29,96.0,0,Mitte,100,,Yes,Yes,10,Yes,No
52,95.0,59,Friedrichshain-Kreuzberg,86,,No,Yes,16,Yes,No
186,87.0,90,Mitte,96,within an hour,Yes,Yes,142,Yes,No
30,100.0,0,Neukölln,,,Yes,Yes,7,No,No
95,99.0,89,Friedrichshain-Kreuzberg,50,within a few hours,Yes,Yes,34,No,No
23,100.0,59,Reinickendorf,89,within a few hours,Yes,Yes,1,No,No
35,93.0,90,Tempelhof - Schöneberg,82,within a few hours,No,Yes,27,No,Yes
60,86.0,88,Lichtenberg,56,within a day,Yes,Yes,15,No,No
30,88.0,77,Neukölln,100,within a few hours,Yes,Yes,25,No,No
54,91.0,80,Charlottenburg-Wilm.,98,within an hour,Yes,Yes,66,No,No
59,95.0,0,Charlottenburg-Wilm.,92,within an hour,Yes,Yes,59,No,No
38,98.0,27,Pankow,67,a few days or more,Yes,Yes,10,No,Yes
27,100.0,0,Neukölln,100,,No,No,15,Yes,No
40,93.0,0,Neukölln,0,within a day,Yes,Yes,10,No,No
23,73.0,0,Friedrichshain-Kreuzberg,,,No,Yes,3,Yes,No
80,91.0,90,Charlottenburg-Wilm.,15,a few days or more,Yes,Yes,69,No,No
71,94.0,45,Pankow,100,within a few hours,Yes,Yes,22,Yes,Yes
28,100.0,0,Neukölln,40,within an hour,Yes,Yes,6,No,No
13,83.0,87,Friedrichshain-Kreuzberg,95,within an hour,Yes,Yes,54,Yes,No
80,94.0,0,Neukölln,0,,Yes,Yes,23,Yes,No
64,95.0,0,Friedrichshain-Kreuzberg,,,Yes,Yes,4,No,No
135,100.0,0,Lichtenberg,100,,Yes,Yes,1,Yes,No
41,77.0,87,Tempelhof - Schöneberg,98,within a day,Yes,Yes,19,No,No
85,100.0,0,Pankow,93,within a day,Yes,Yes,3,Yes,Yes
39,94.0,9,Neukölln,100,within an hour,No,Yes,18,Yes,Yes
90,100.0,0,Neukölln,,,No,Yes,2,No,No
22,100.0,0,Friedrichshain-Kreuzberg,,,No,Yes,1,Yes,No
45,100.0,0,Friedrichshain-Kreuzberg,,,Yes,Yes,6,No,No
30,100.0,0,Steglitz - Zehlendorf,89,within an hour,No,Yes,3,Yes,No
76,98.0,61,Neukölln,100,within an hour,Yes,Yes,328,Yes,Yes
45,96.0,59,Tempelhof - Schöneberg,98,within a few hours,No,Yes,25,No,Yes
35,95.0,0,Neukölln,,,No,Yes,4,Yes,No
150,100.0,61,Pankow,100,within an hour,No,Yes,1,No,No
109,97.0,86,Mitte,86,within an hour,Yes,Yes,48,No,Yes
