review_scores_rating,date,price
below 70,2020-09-01,54.28813559322034
below 70,2020-09-02,54.351694915254235
below 70,2020-09-03,54.19915254237288
below 70,2020-09-04,55.771186440677965
below 70,2020-09-05,56.08898305084746
below 70,2020-09-06,54.76271186440678
below 70,2020-09-07,54.84322033898305
below 70,2020-09-08,54.76271186440678
below 70,2020-09-09,54.83050847457627
below 70,2020-09-10,55.11864406779661
below 70,2020-09-11,56.33898305084746
below 70,2020-09-12,56.33050847457627
below 70,2020-09-13,54.902542372881356
below 70,2020-09-14,55.105932203389834
below 70,2020-09-15,55.347457627118644
below 70,2020-09-16,55.360169491525426
below 70,2020-09-17,55.52542372881356
below 70,2020-09-18,59.33050847457627
below 70,2020-09-19,59.33474576271186
below 70,2020-09-20,55.41525423728814
below 70,2020-09-21,55.3771186440678
below 70,2020-09-22,57.355932203389834
below 70,2020-09-23,57.51271186440678
below 70,2020-09-24,57.83898305084746
below 70,2020-09-25,59.78389830508475
below 70,2020-09-26,60.25847457627118
below 70,2020-09-27,57.817796610169495
below 70,2020-09-28,57.766949152542374
below 70,2020-09-29,57.75
below 70,2020-09-30,57.76271186440678
below 70,2020-10-01,55.66949152542373
below 70,2020-10-02,59.51271186440678
below 70,2020-10-03,59.55508474576271
below 70,2020-10-04,55.86864406779661
below 70,2020-10-05,57.45762711864407
below 70,2020-10-06,57.44491525423729
below 70,2020-10-07,57.46610169491525
below 70,2020-10-08,57.478813559322035
below 70,2020-10-09,58.53389830508475
below 70,2020-10-10,58.58898305084746
below 70,2020-10-11,55.105932203389834
below 70,2020-10-12,56.771186440677965
below 70,2020-10-13,56.78813559322034
below 70,2020-10-14,56.58474576271186
below 70,2020-10-15,55.38559322033898
below 70,2020-10-16,58.597457627118644
below 70,2020-10-17,58.601694915254235
below 70,2020-10-18,55.11440677966102
below 70,2020-10-19,55.25
below 70,2020-10-20,55.24576271186441
below 70,2020-10-21,55.25847457627118
below 70,2020-10-22,55.313559322033896
below 70,2020-10-23,58.766949152542374
below 70,2020-10-24,58.72457627118644
below 70,2020-10-25,54.83898305084746
below 70,2020-10-26,55.016949152542374
below 70,2020-10-27,55.03389830508475
below 70,2020-10-28,55.05084745762712
below 70,2020-10-29,55.02542372881356
below 70,2020-10-30,58.29661016949152
below 70,2020-10-31,58.28813559322034
below 70,2020-11-01,54.45338983050848
below 70,2020-11-02,54.28813559322034
below 70,2020-11-03,54.6228813559322
below 70,2020-11-04,56.73728813559322
below 70,2020-11-05,56.71186440677966
below 70,2020-11-06,57.970338983050844
below 70,2020-11-07,57.682203389830505
below 70,2020-11-08,56.309322033898304
below 70,2020-11-09,56.30508474576271
below 70,2020-11-10,56.313559322033896
below 70,2020-11-11,56.36864406779661
below 70,2020-11-12,56.38559322033898
below 70,2020-11-13,57.70338983050848
below 70,2020-11-14,57.71186440677966
below 70,2020-11-15,56.28813559322034
below 70,2020-11-16,56.355932203389834
below 70,2020-11-17,56.36440677966102
below 70,2020-11-18,56.36440677966102
below 70,2020-11-19,56.3728813559322
below 70,2020-11-20,57.70338983050848
below 70,2020-11-21,57.733050847457626
below 70,2020-11-22,56.30508474576271
below 70,2020-11-23,56.32627118644068
below 70,2020-11-24,57.46610169491525
below 70,2020-11-25,57.597457627118644
below 70,2020-11-26,57.66525423728814
below 70,2020-11-27,59.03389830508475
below 70,2020-11-28,59.016949152542374
below 70,2020-11-29,56.32627118644068
below 70,2020-11-30,56.38135593220339
below 70,2020-12-01,56.394067796610166
below 70,2020-12-02,56.40677966101695
below 70,2020-12-03,57.6228813559322
below 70,2020-12-04,59.11864406779661
below 70,2020-12-05,59.144067796610166
below 70,2020-12-06,56.41949152542373
below 70,2020-12-07,56.54237288135593
below 70,2020-12-08,56.36864406779661
below 70,2020-12-09,56.360169491525426
below 70,2020-12-10,57.57627118644068
below 70,2020-12-11,59.059322033898304
below 70,2020-12-12,59.08050847457627
below 70,2020-12-13,56.389830508474574
below 70,2020-12-14,56.3771186440678
below 70,2020-12-15,56.3728813559322
below 70,2020-12-16,56.44915254237288
below 70,2020-12-17,57.59322033898305
below 70,2020-12-18,59.105932203389834
below 70,2020-12-19,59.110169491525426
below 70,2020-12-20,56.29661016949152
below 70,2020-12-21,56.8771186440678
below 70,2020-12-22,56.8771186440678
below 70,2020-12-23,57.54237288135593
below 70,2020-12-24,57.16101694915254
below 70,2020-12-25,58.53813559322034
below 70,2020-12-26,58.92796610169491
below 70,2020-12-27,58.20762711864407
below 70,2020-12-28,59.648305084745765
below 70,2020-12-29,60.42372881355932
below 70,2020-12-30,63.70338983050848
below 70,2020-12-31,65.00847457627118
below 70,2021-01-01,63.144067796610166
below 70,2021-01-02,63.478813559322035
below 70,2021-01-03,61.45338983050848
below 70,2021-01-04,60.779661016949156
below 70,2021-01-05,60.78389830508475
below 70,2021-01-06,60.48728813559322
below 70,2021-01-07,60.48728813559322
below 70,2021-01-08,61.771186440677965
below 70,2021-01-09,61.097457627118644
below 70,2021-01-10,59.6228813559322
below 70,2021-01-11,59.80508474576271
below 70,2021-01-12,59.809322033898304
below 70,2021-01-13,59.813559322033896
below 70,2021-01-14,59.97457627118644
below 70,2021-01-15,62.279661016949156
below 70,2021-01-16,62.29237288135593
below 70,2021-01-17,60.73728813559322
below 70,2021-01-18,60.91101694915254
below 70,2021-01-19,60.91949152542373
below 70,2021-01-20,60.91949152542373
below 70,2021-01-21,60.94915254237288
below 70,2021-01-22,62.29237288135593
below 70,2021-01-23,62.30508474576271
below 70,2021-01-24,59.83898305084746
below 70,2021-01-25,60.05508474576271
