id,host_is_superhost,neighbourhood_group_cleansed,room_type,beds,availability_365,review_scores_rating
13511130,No,Mitte,Entire home/apt,4.0,300+,91-100
13516004,No,Mitte,Entire home/apt,2.0,300+,81-90
13516569,No,Mitte,Entire home/apt,3.0,300+,81-90
13517710,No,Reinickendorf,Entire home/apt,1.0,51-100,91-100
13521631,No,Pankow,Private room,1.0,0-50,91-100
13522714,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
13529726,No,Mitte,Entire home/apt,0.0,51-100,81-90
13529739,No,Pankow,Entire home/apt,1.0,0-50,91-100
13542344,Yes,Tempelhof - Schöneberg,Private room,1.0,0-50,91-100
13554198,Yes,Tempelhof - Schöneberg,Private room,1.0,251-300,91-100
13555439,No,Mitte,Private room,2.0,0-50,91-100
13559199,No,Pankow,Entire home/apt,2.0,151-200,91-100
13570229,No,Mitte,Entire home/apt,3.0,151-200,91-100
13570553,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,0-50,91-100
13574153,No,Pankow,Entire home/apt,2.0,0-50,91-100
13575848,No,Mitte,Private room,1.0,0-50,91-100
13576534,No,Mitte,Entire home/apt,0.0,300+,91-100
13581794,No,Neukölln,Private room,2.0,0-50,91-100
13582166,No,Mitte,Entire home/apt,0.0,300+,91-100
13583119,Yes,Neukölln,Private room,1.0,0-50,91-100
13585558,Yes,Friedrichshain-Kreuzberg,Private room,1.0,51-100,91-100
13587081,No,Mitte,Entire home/apt,1.0,0-50,91-100
13593507,Yes,Tempelhof - Schöneberg,Entire home/apt,7+,300+,91-100
13593823,Yes,Pankow,Private room,0.0,51-100,91-100
13595571,Yes,Friedrichshain-Kreuzberg,Entire home/apt,1.0,0-50,91-100
13595741,No,Mitte,Private room,1.0,0-50,below 70
13597592,No,Mitte,Private room,1.0,0-50,91-100
13601367,No,Mitte,Private room,2.0,51-100,91-100
13601845,No,Friedrichshain-Kreuzberg,Private room,2.0,0-50,91-100
13602242,Yes,Mitte,Entire home/apt,2.0,0-50,91-100
13612707,No,Pankow,Entire home/apt,2.0,0-50,91-100
13618121,Yes,Friedrichshain-Kreuzberg,Entire home/apt,4.0,51-100,91-100
13639814,No,Friedrichshain-Kreuzberg,Entire home/apt,0.0,51-100,71-80
13640248,No,Friedrichshain-Kreuzberg,Private room,0.0,300+,91-100
13647698,No,Tempelhof - Schöneberg,Private room,1.0,0-50,91-100
13648303,No,Lichtenberg,Private room,1.0,0-50,81-90
13650187,No,Mitte,Entire home/apt,2.0,300+,81-90
13651040,Yes,Mitte,Entire home/apt,4.0,201-250,91-100
13654880,No,Mitte,Entire home/apt,5.0,300+,81-90
13661419,No,Lichtenberg,Private room,1.0,300+,91-100
13661744,No,Friedrichshain-Kreuzberg,Entire home/apt,4.0,0-50,91-100
13661891,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
13663197,Yes,Mitte,Entire home/apt,4.0,251-300,91-100
13664173,No,Charlottenburg-Wilm.,Entire home/apt,3.0,51-100,81-90
13664280,No,Charlottenburg-Wilm.,Entire home/apt,1.0,51-100,91-100
13666450,Yes,Tempelhof - Schöneberg,Entire home/apt,7+,300+,91-100
13666457,Yes,Mitte,Entire home/apt,1.0,251-300,91-100
13666992,No,Pankow,Entire home/apt,1.0,0-50,91-100
13667915,No,Mitte,Entire home/apt,1.0,300+,81-90
13668880,No,Mitte,Entire home/apt,1.0,300+,81-90
13669087,No,Mitte,Entire home/apt,4.0,151-200,81-90
13669202,No,Mitte,Entire home/apt,4.0,151-200,91-100
13670290,No,Mitte,Entire home/apt,4.0,300+,81-90
13672096,No,Pankow,Private room,2.0,0-50,91-100
13672790,No,Neukölln,Entire home/apt,1.0,0-50,91-100
13681045,No,Mitte,Entire home/apt,1.0,0-50,91-100
13685563,No,Reinickendorf,Entire home/apt,2.0,0-50,91-100
13686332,No,Mitte,Entire home/apt,2.0,0-50,91-100
13690473,No,Charlottenburg-Wilm.,Entire home/apt,3.0,0-50,71-80
13693009,No,Friedrichshain-Kreuzberg,Entire home/apt,5.0,0-50,81-90
13702615,No,Neukölln,Private room,2.0,0-50,91-100
13704364,No,Mitte,Private room,1.0,251-300,91-100
13704730,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
13706588,No,Friedrichshain-Kreuzberg,Private room,2.0,51-100,81-90
13706958,No,Tempelhof - Schöneberg,Entire home/apt,3.0,0-50,91-100
13711603,Yes,Pankow,Entire home/apt,3.0,51-100,91-100
13717143,No,Lichtenberg,Entire home/apt,6.0,0-50,91-100
13719408,No,Pankow,Private room,1.0,0-50,71-80
13719880,No,Pankow,Entire home/apt,0.0,0-50,91-100
13720685,No,Mitte,Private room,1.0,0-50,91-100
13727737,No,Mitte,Private room,1.0,0-50,81-90
13728127,No,Friedrichshain-Kreuzberg,Entire home/apt,4.0,0-50,91-100
13728898,No,Friedrichshain-Kreuzberg,Entire home/apt,2.0,0-50,91-100
13730322,No,Mitte,Private room,1.0,251-300,91-100
13736728,No,Tempelhof - Schöneberg,Private room,1.0,0-50,91-100
13737670,No,Neukölln,Private room,1.0,0-50,91-100
13738474,No,Tempelhof - Schöneberg,Private room,3.0,0-50,91-100
13739412,No,Mitte,Private room,1.0,0-50,91-100
13739449,Yes,Mitte,Entire home/apt,4.0,201-250,91-100
13742468,No,Pankow,Entire home/apt,1.0,51-100,81-90
13742979,No,Neukölln,Entire home/apt,2.0,300+,81-90
13744671,No,Tempelhof - Schöneberg,Private room,1.0,0-50,below 70
13746351,No,Mitte,Private room,1.0,0-50,71-80
13746394,No,Charlottenburg-Wilm.,Hotel room,1.0,300+,below 70
13749061,No,Pankow,Entire home/apt,3.0,0-50,below 70
13749552,No,Neukölln,Private room,1.0,0-50,91-100
13754511,No,Neukölln,Entire home/apt,2.0,0-50,91-100
13755615,Yes,Mitte,Entire home/apt,2.0,251-300,91-100
13759499,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
13760252,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
13760375,Yes,Mitte,Entire home/apt,2.0,201-250,91-100
13760475,Yes,Friedrichshain-Kreuzberg,Entire home/apt,2.0,0-50,91-100
13761071,Yes,Mitte,Entire home/apt,4.0,251-300,91-100
13763834,No,Neukölln,Entire home/apt,2.0,0-50,91-100
13764166,No,Charlottenburg-Wilm.,Private room,1.0,0-50,91-100
13766175,No,Mitte,Entire home/apt,3.0,0-50,91-100
13766598,No,Charlottenburg-Wilm.,Entire home/apt,4.0,51-100,91-100
13767734,No,Neukölln,Entire home/apt,0.0,0-50,91-100
13774704,No,Neukölln,Private room,1.0,0-50,91-100
13775127,No,Treptow - Köpenick,Entire home/apt,2.0,0-50,91-100
13778295,No,Tempelhof - Schöneberg,Private room,1.0,0-50,91-100
13779541,No,Treptow - Köpenick,Entire home/apt,1.0,0-50,91-100
13780760,No,Pankow,Entire home/apt,1.0,0-50,91-100
13781440,No,Steglitz - Zehlendorf,Entire home/apt,1.0,0-50,91-100
13786553,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
13787199,No,Mitte,Private room,1.0,0-50,91-100
13791452,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
13794194,No,Lichtenberg,Private room,1.0,0-50,91-100
13794831,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,0-50,71-80
13795235,No,Neukölln,Private room,2.0,0-50,below 70
13796638,No,Mitte,Private room,1.0,0-50,91-100
13798286,Yes,Tempelhof - Schöneberg,Private room,1.0,151-200,91-100
13806773,Yes,Steglitz - Zehlendorf,Private room,1.0,0-50,91-100
13812048,No,Friedrichshain-Kreuzberg,Entire home/apt,3.0,0-50,91-100
13812209,No,Friedrichshain-Kreuzberg,Entire home/apt,3.0,51-100,81-90
13834858,No,Pankow,Entire home/apt,2.0,0-50,91-100
13838372,No,Mitte,Private room,3.0,0-50,91-100
13838662,Yes,Mitte,Entire home/apt,1.0,51-100,91-100
13840441,Yes,Friedrichshain-Kreuzberg,Private room,1.0,51-100,81-90
13842264,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,81-90
13843229,No,Friedrichshain-Kreuzberg,Entire home/apt,2.0,0-50,91-100
13845137,No,Neukölln,Entire home/apt,2.0,0-50,71-80
13852123,No,Pankow,Entire home/apt,5.0,251-300,91-100
13852687,No,Charlottenburg-Wilm.,Private room,1.0,0-50,71-80
13861835,No,Charlottenburg-Wilm.,Private room,3.0,0-50,71-80
13868134,Yes,Neukölln,Entire home/apt,7+,251-300,91-100
13870364,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,0-50,91-100
13870457,No,Mitte,Entire home/apt,2.0,0-50,91-100
13870932,No,Neukölln,Private room,1.0,0-50,91-100
13871073,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,81-90
13872278,Yes,Charlottenburg-Wilm.,Entire home/apt,3.0,201-250,91-100
13873710,No,Pankow,Entire home/apt,2.0,0-50,91-100
13876169,No,Friedrichshain-Kreuzberg,Entire home/apt,2.0,0-50,91-100
13877081,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,0-50,91-100
13877480,No,Pankow,Entire home/apt,2.0,0-50,91-100
13877775,No,Treptow - Köpenick,Private room,1.0,0-50,81-90
13878558,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,0-50,91-100
13880894,No,Neukölln,Private room,1.0,0-50,91-100
13883340,No,Lichtenberg,Private room,1.0,300+,91-100
13886041,No,Tempelhof - Schöneberg,Entire home/apt,2.0,300+,91-100
13887432,No,Tempelhof - Schöneberg,Private room,1.0,0-50,91-100
13889489,No,Tempelhof - Schöneberg,Private room,1.0,201-250,81-90
13893621,Yes,Friedrichshain-Kreuzberg,Entire home/apt,2.0,151-200,91-100
13897245,No,Charlottenburg-Wilm.,Entire home/apt,2.0,0-50,91-100
13897718,Yes,Neukölln,Entire home/apt,1.0,0-50,91-100
13902122,Yes,Mitte,Private room,1.0,0-50,91-100
13907601,Yes,Neukölln,Private room,2.0,0-50,91-100
13907817,No,Neukölln,Private room,1.0,0-50,91-100
13909255,No,Neukölln,Entire home/apt,1.0,0-50,81-90
13910233,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,0-50,91-100
13911706,No,Pankow,Private room,1.0,0-50,81-90
13926199,No,Reinickendorf,Entire home/apt,7+,151-200,71-80
13926919,No,Friedrichshain-Kreuzberg,Private room,1.0,300+,91-100
13930669,No,Mitte,Entire home/apt,2.0,251-300,91-100
13931031,No,Mitte,Entire home/apt,2.0,0-50,91-100
13931087,No,Mitte,Private room,1.0,51-100,91-100
13938392,No,Friedrichshain-Kreuzberg,Private room,2.0,0-50,81-90
13938779,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
13939282,No,Pankow,Private room,0.0,0-50,91-100
13940024,No,Reinickendorf,Private room,2.0,101-150,91-100
13940806,No,Friedrichshain-Kreuzberg,Private room,2.0,0-50,91-100
13946722,No,Neukölln,Private room,1.0,0-50,91-100
13948004,Yes,Mitte,Entire home/apt,1.0,300+,91-100
13949401,No,Neukölln,Private room,2.0,0-50,81-90
13951102,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
13952911,No,Pankow,Private room,1.0,0-50,91-100
13953844,Yes,Pankow,Entire home/apt,2.0,0-50,91-100
13955279,No,Pankow,Private room,2.0,0-50,81-90
13956428,No,Mitte,Private room,2.0,0-50,91-100
13958168,No,Charlottenburg-Wilm.,Private room,1.0,0-50,91-100
13964786,Yes,Treptow - Köpenick,Private room,1.0,101-150,91-100
13967235,No,Charlottenburg-Wilm.,Entire home/apt,1.0,51-100,91-100
13967913,No,Friedrichshain-Kreuzberg,Private room,3.0,0-50,91-100
13970007,No,Neukölln,Private room,1.0,0-50,91-100
13971796,No,Pankow,Private room,1.0,0-50,91-100
13975116,No,Tempelhof - Schöneberg,Entire home/apt,5.0,0-50,91-100
13984283,No,Neukölln,Private room,1.0,0-50,91-100
13985642,No,Friedrichshain-Kreuzberg,Entire home/apt,4.0,0-50,91-100
13986182,No,Charlottenburg-Wilm.,Entire home/apt,1.0,0-50,91-100
13987234,No,Neukölln,Entire home/apt,3.0,0-50,91-100
13990153,No,Mitte,Entire home/apt,3.0,151-200,81-90
13991751,No,Neukölln,Private room,1.0,201-250,below 70
13991862,No,Marzahn - Hellersdorf,Private room,2.0,300+,91-100
13992102,No,Pankow,Private room,1.0,0-50,91-100
13993559,Yes,Mitte,Entire home/apt,1.0,0-50,91-100
13994963,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,0-50,91-100
13995191,No,Neukölln,Entire home/apt,1.0,0-50,91-100
13999478,No,Pankow,Entire home/apt,1.0,0-50,91-100
14003163,Yes,Lichtenberg,Private room,1.0,0-50,91-100
14006084,No,Neukölln,Private room,1.0,0-50,71-80
14010313,No,Mitte,Private room,1.0,151-200,91-100
14010816,No,Mitte,Entire home/apt,3.0,0-50,91-100
14017708,No,Pankow,Entire home/apt,1.0,0-50,below 70
14019263,No,Mitte,Private room,0.0,201-250,91-100
14023233,No,Pankow,Private room,1.0,0-50,91-100
14023450,No,Pankow,Private room,1.0,0-50,91-100
14025224,No,Mitte,Private room,1.0,0-50,91-100
14025422,Yes,Pankow,Entire home/apt,3.0,300+,91-100
14032171,No,Reinickendorf,Private room,1.0,151-200,91-100
14033738,No,Pankow,Private room,1.0,251-300,91-100
14034460,No,Mitte,Private room,0.0,0-50,91-100
14035368,No,Friedrichshain-Kreuzberg,Private room,3.0,0-50,71-80
14036399,No,Reinickendorf,Private room,1.0,51-100,91-100
14038317,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,0-50,91-100
14038647,No,Pankow,Entire home/apt,1.0,0-50,91-100
14039547,No,Mitte,Entire home/apt,3.0,0-50,91-100
14044315,No,Friedrichshain-Kreuzberg,Private room,1.0,51-100,91-100
14047818,No,Pankow,Private room,2.0,0-50,91-100
14051026,No,Neukölln,Private room,1.0,0-50,91-100
14052242,Yes,Friedrichshain-Kreuzberg,Private room,1.0,101-150,91-100
14052781,No,Friedrichshain-Kreuzberg,Entire home/apt,2.0,0-50,91-100
14052946,No,Pankow,Private room,1.0,0-50,91-100
14053917,Yes,Friedrichshain-Kreuzberg,Entire home/apt,2.0,300+,91-100
14056115,No,Tempelhof - Schöneberg,Entire home/apt,3.0,51-100,91-100
14056597,No,Neukölln,Entire home/apt,3.0,0-50,91-100
14061200,No,Friedrichshain-Kreuzberg,Entire home/apt,4.0,0-50,81-90
14063116,No,Neukölln,Private room,1.0,0-50,91-100
14071962,No,Lichtenberg,Private room,1.0,0-50,91-100
14073167,No,Tempelhof - Schöneberg,Entire home/apt,1.0,0-50,91-100
14074076,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,71-80
14080384,Yes,Pankow,Private room,1.0,0-50,91-100
14082236,No,Friedrichshain-Kreuzberg,Private room,1.0,300+,91-100
14082396,No,Mitte,Entire home/apt,5.0,300+,91-100
14084194,No,Friedrichshain-Kreuzberg,Private room,1.0,300+,91-100
14084436,No,Pankow,Entire home/apt,2.0,0-50,91-100
14086069,No,Friedrichshain-Kreuzberg,Private room,1.0,300+,81-90
14089858,Yes,Mitte,Entire home/apt,1.0,251-300,91-100
14096485,No,Spandau,Entire home/apt,3.0,300+,81-90
14098956,No,Neukölln,Entire home/apt,2.0,300+,91-100
14101277,No,Mitte,Private room,1.0,0-50,91-100
14103201,No,Pankow,Entire home/apt,1.0,0-50,91-100
14104478,No,Charlottenburg-Wilm.,Entire home/apt,2.0,0-50,91-100
14104670,No,Neukölln,Private room,1.0,0-50,91-100
14105788,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,71-80
14106866,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
14117115,No,Charlottenburg-Wilm.,Entire home/apt,1.0,300+,91-100
14118331,No,Treptow - Köpenick,Private room,1.0,0-50,71-80
14118554,Yes,Tempelhof - Schöneberg,Entire home/apt,1.0,300+,91-100
14119192,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
14119680,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
14122661,No,Neukölln,Private room,1.0,51-100,71-80
14130619,Yes,Mitte,Private room,1.0,300+,91-100
14134804,No,Pankow,Entire home/apt,1.0,0-50,91-100
14137635,No,Mitte,Entire home/apt,2.0,300+,71-80
14146501,No,Neukölln,Private room,1.0,0-50,below 70
14146962,No,Lichtenberg,Entire home/apt,2.0,0-50,71-80
14148336,Yes,Friedrichshain-Kreuzberg,Entire home/apt,1.0,51-100,91-100
14148410,Yes,Neukölln,Private room,1.0,0-50,91-100
14149980,No,Pankow,Private room,2.0,0-50,81-90
14157389,No,Pankow,Entire home/apt,2.0,0-50,91-100
14158087,Yes,Mitte,Private room,1.0,51-100,91-100
14158399,No,Neukölln,Entire home/apt,1.0,0-50,91-100
14159874,Yes,Charlottenburg-Wilm.,Entire home/apt,2.0,300+,91-100
14163014,Yes,Neukölln,Entire home/apt,1.0,0-50,91-100
14165485,No,Pankow,Entire home/apt,3.0,151-200,91-100
14167097,Yes,Mitte,Private room,1.0,0-50,91-100
14171889,No,Pankow,Entire home/apt,1.0,0-50,91-100
14171995,No,Pankow,Private room,3.0,0-50,91-100
14173141,No,Neukölln,Private room,1.0,0-50,81-90
14173644,No,Spandau,Entire home/apt,3.0,300+,91-100
14180567,No,Pankow,Private room,1.0,0-50,91-100
14189358,No,Neukölln,Entire home/apt,1.0,0-50,71-80
14191082,Yes,Mitte,Entire home/apt,2.0,0-50,91-100
14191271,No,Lichtenberg,Private room,1.0,0-50,81-90
14191581,No,Neukölln,Private room,1.0,0-50,91-100
14192623,No,Friedrichshain-Kreuzberg,Private room,1.0,300+,91-100
14194727,Yes,Mitte,Entire home/apt,1.0,0-50,91-100
14195566,No,Steglitz - Zehlendorf,Entire home/apt,2.0,300+,91-100
14195837,No,Tempelhof - Schöneberg,Private room,1.0,0-50,91-100
14199196,No,Pankow,Entire home/apt,2.0,0-50,below 70
14199637,No,Pankow,Private room,1.0,0-50,81-90
14200405,No,Treptow - Köpenick,Private room,1.0,0-50,91-100
14200671,No,Neukölln,Private room,2.0,0-50,91-100
14200733,No,Mitte,Entire home/apt,2.0,0-50,91-100
14201780,No,Lichtenberg,Private room,1.0,0-50,91-100
14208369,No,Mitte,Entire home/apt,1.0,0-50,71-80
14208635,No,Charlottenburg-Wilm.,Private room,1.0,151-200,91-100
14209888,No,Charlottenburg-Wilm.,Private room,1.0,0-50,91-100
14211489,No,Charlottenburg-Wilm.,Entire home/apt,2.0,51-100,91-100
14218009,No,Neukölln,Entire home/apt,1.0,0-50,91-100
14218434,Yes,Pankow,Entire home/apt,2.0,0-50,91-100
14218762,No,Reinickendorf,Entire home/apt,1.0,0-50,91-100
14226951,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
14227880,No,Neukölln,Private room,1.0,0-50,91-100
14228442,Yes,Charlottenburg-Wilm.,Entire home/apt,2.0,251-300,91-100
14232097,No,Neukölln,Private room,1.0,300+,91-100
14233133,No,Mitte,Private room,1.0,0-50,71-80
14234531,No,Lichtenberg,Entire home/apt,2.0,0-50,91-100
14242851,No,Neukölln,Private room,1.0,0-50,91-100
14243394,No,Pankow,Entire home/apt,4.0,0-50,91-100
14243709,No,Marzahn - Hellersdorf,Entire home/apt,2.0,300+,71-80
14244735,No,Steglitz - Zehlendorf,Entire home/apt,1.0,0-50,91-100
14246644,No,Friedrichshain-Kreuzberg,Entire home/apt,2.0,300+,91-100
14248400,No,Neukölln,Entire home/apt,3.0,300+,91-100
14252239,No,Neukölln,Private room,1.0,0-50,91-100
14257187,No,Mitte,Private room,1.0,51-100,91-100
14257495,Yes,Mitte,Private room,1.0,251-300,91-100
14259993,Yes,Pankow,Private room,1.0,300+,91-100
14260987,No,Tempelhof - Schöneberg,Private room,1.0,300+,91-100
14264645,No,Neukölln,Entire home/apt,1.0,0-50,91-100
14271200,No,Pankow,Entire home/apt,3.0,300+,81-90
14271993,No,Mitte,Entire home/apt,1.0,0-50,91-100
14275097,No,Pankow,Private room,2.0,51-100,91-100
14275387,No,Charlottenburg-Wilm.,Entire home/apt,1.0,0-50,91-100
14275650,No,Neukölln,Entire home/apt,1.0,0-50,91-100
14276874,No,Mitte,Private room,1.0,300+,91-100
14285959,No,Pankow,Private room,1.0,0-50,91-100
14286080,No,Mitte,Hotel room,2.0,0-50,81-90
14287714,Yes,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
14288423,No,Friedrichshain-Kreuzberg,Private room,2.0,0-50,91-100
14289217,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,81-90
14289559,No,Tempelhof - Schöneberg,Private room,1.0,300+,81-90
14290848,No,Mitte,Hotel room,1.0,300+,below 70
14291393,No,Neukölln,Private room,1.0,0-50,91-100
14298327,No,Pankow,Private room,1.0,0-50,91-100
14306417,Yes,Treptow - Köpenick,Entire home/apt,1.0,151-200,91-100
14306853,Yes,Pankow,Private room,2.0,300+,91-100
14307103,No,Neukölln,Entire home/apt,2.0,300+,91-100
14307948,No,Neukölln,Entire home/apt,1.0,0-50,91-100
14309900,No,Tempelhof - Schöneberg,Entire home/apt,1.0,151-200,91-100
14312400,Yes,Steglitz - Zehlendorf,Private room,1.0,300+,91-100
14312606,No,Charlottenburg-Wilm.,Entire home/apt,1.0,51-100,81-90
14312610,No,Mitte,Private room,2.0,0-50,91-100
14314574,Yes,Mitte,Entire home/apt,6.0,251-300,91-100
14315409,No,Tempelhof - Schöneberg,Entire home/apt,2.0,0-50,91-100
14318884,Yes,Neukölln,Private room,1.0,0-50,91-100
14318952,No,Friedrichshain-Kreuzberg,Private room,2.0,151-200,81-90
14327015,Yes,Mitte,Entire home/apt,5.0,300+,91-100
14327681,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
14332936,No,Neukölln,Entire home/apt,2.0,0-50,91-100
14333714,Yes,Mitte,Entire home/apt,6.0,300+,91-100
14335678,Yes,Mitte,Entire home/apt,5.0,300+,91-100
14338594,No,Tempelhof - Schöneberg,Entire home/apt,1.0,0-50,91-100
14353707,No,Mitte,Private room,1.0,0-50,91-100
14355657,Yes,Pankow,Private room,1.0,300+,91-100
14362551,No,Pankow,Private room,1.0,300+,91-100
14366788,Yes,Steglitz - Zehlendorf,Private room,1.0,300+,91-100
14366842,Yes,Tempelhof - Schöneberg,Private room,1.0,0-50,91-100
14367087,Yes,Charlottenburg-Wilm.,Private room,1.0,51-100,91-100
14368620,Yes,Tempelhof - Schöneberg,Entire home/apt,2.0,0-50,91-100
14380505,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
14381251,No,Tempelhof - Schöneberg,Entire home/apt,6.0,300+,91-100
14386732,No,Neukölln,Entire home/apt,1.0,300+,71-80
14393573,No,Mitte,Private room,2.0,0-50,91-100
14397637,No,Charlottenburg-Wilm.,Private room,4.0,300+,91-100
14400776,No,Tempelhof - Schöneberg,Entire home/apt,1.0,0-50,71-80
14400884,No,Charlottenburg-Wilm.,Entire home/apt,3.0,0-50,91-100
14408793,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
14410286,No,Pankow,Entire home/apt,1.0,300+,91-100
14410819,No,Neukölln,Private room,2.0,0-50,91-100
14411291,No,Pankow,Entire home/apt,1.0,0-50,91-100
14411608,No,Mitte,Entire home/apt,0.0,300+,81-90
14411901,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,151-200,91-100
14415264,No,Neukölln,Private room,1.0,0-50,91-100
14415817,No,Friedrichshain-Kreuzberg,Entire home/apt,2.0,101-150,91-100
14424087,No,Pankow,Entire home/apt,2.0,251-300,81-90
14434676,No,Pankow,Entire home/apt,1.0,201-250,81-90
14435290,No,Pankow,Entire home/apt,1.0,300+,91-100
14436882,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,300+,81-90
14437126,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
14441585,No,Friedrichshain-Kreuzberg,Entire home/apt,4.0,251-300,91-100
14443689,No,Tempelhof - Schöneberg,Private room,1.0,0-50,91-100
14444110,No,Mitte,Private room,1.0,0-50,91-100
14454907,No,Mitte,Entire home/apt,2.0,300+,91-100
14457110,No,Mitte,Private room,1.0,300+,81-90
14459706,No,Neukölln,Private room,2.0,0-50,91-100
14461212,Yes,Friedrichshain-Kreuzberg,Entire home/apt,2.0,0-50,91-100
14464850,No,Mitte,Entire home/apt,2.0,51-100,81-90
14466069,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
14466203,No,Friedrichshain-Kreuzberg,Private room,1.0,201-250,91-100
14467506,Yes,Charlottenburg-Wilm.,Private room,2.0,0-50,91-100
14469380,No,Treptow - Köpenick,Entire home/apt,2.0,0-50,91-100
14470451,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
14470682,No,Pankow,Private room,1.0,0-50,91-100
14479069,No,Mitte,Hotel room,2.0,300+,71-80
14479963,No,Mitte,Private room,0.0,300+,91-100
14481572,No,Pankow,Entire home/apt,2.0,300+,91-100
14483539,Yes,Friedrichshain-Kreuzberg,Entire home/apt,1.0,151-200,91-100
14493186,No,Mitte,Private room,2.0,300+,91-100
14501471,Yes,Neukölln,Entire home/apt,2.0,201-250,91-100
14507840,No,Pankow,Private room,1.0,0-50,91-100
14507992,No,Pankow,Entire home/apt,1.0,51-100,81-90
14510237,Yes,Treptow - Köpenick,Private room,1.0,51-100,91-100
14513010,No,Pankow,Private room,1.0,0-50,81-90
14513200,No,Friedrichshain-Kreuzberg,Private room,1.0,151-200,91-100
14541573,No,Neukölln,Private room,1.0,0-50,91-100
14543378,No,Neukölln,Entire home/apt,1.0,300+,91-100
14544476,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,201-250,91-100
14544930,Yes,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
14546260,No,Friedrichshain-Kreuzberg,Private room,2.0,201-250,91-100
14548401,No,Charlottenburg-Wilm.,Private room,2.0,0-50,91-100
14548616,Yes,Pankow,Private room,1.0,0-50,91-100
14555185,No,Mitte,Entire home/apt,3.0,251-300,81-90
14558571,Yes,Mitte,Private room,1.0,101-150,91-100
14558847,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
14558917,No,Tempelhof - Schöneberg,Private room,2.0,0-50,81-90
14559781,Yes,Charlottenburg-Wilm.,Entire home/apt,3.0,300+,91-100
14560077,No,Tempelhof - Schöneberg,Private room,1.0,0-50,91-100
14562079,No,Lichtenberg,Entire home/apt,1.0,300+,91-100
14563680,No,Lichtenberg,Private room,1.0,0-50,91-100
14574834,No,Lichtenberg,Entire home/apt,2.0,300+,81-90
14581100,No,Pankow,Entire home/apt,2.0,151-200,91-100
14582783,Yes,Mitte,Private room,1.0,101-150,91-100
14582811,Yes,Mitte,Entire home/apt,1.0,0-50,91-100
14583717,No,Tempelhof - Schöneberg,Private room,0.0,201-250,81-90
14583851,No,Lichtenberg,Entire home/apt,3.0,0-50,91-100
14584656,No,Neukölln,Private room,1.0,0-50,91-100
14588206,Yes,Mitte,Entire home/apt,7+,300+,91-100
14588237,No,Neukölln,Private room,2.0,0-50,91-100
14588522,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,51-100,91-100
14589378,Yes,Mitte,Entire home/apt,7+,0-50,91-100
14593498,No,Mitte,Private room,1.0,0-50,91-100
14604091,No,Mitte,Private room,1.0,0-50,91-100
14604795,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,151-200,81-90
14607897,No,Mitte,Private room,1.0,0-50,91-100
14607904,No,Pankow,Entire home/apt,2.0,300+,81-90
14607908,No,Charlottenburg-Wilm.,Private room,1.0,51-100,91-100
14608538,No,Mitte,Entire home/apt,1.0,0-50,91-100
