id,host_is_superhost,neighbourhood_group_cleansed,room_type,beds,availability_365,review_scores_rating
171609,No,Pankow,Private room,1.0,51-100,91-100
171746,Yes,Pankow,Entire home/apt,1.0,300+,91-100
173153,No,Pankow,Entire home/apt,1.0,201-250,91-100
174547,No,Mitte,Entire home/apt,3.0,0-50,91-100
174560,No,Mitte,Entire home/apt,3.0,201-250,91-100
174576,No,Mitte,Entire home/apt,4.0,201-250,91-100
174579,No,Mitte,Entire home/apt,3.0,0-50,91-100
175667,No,Tempelhof - Schöneberg,Entire home/apt,1.0,300+,81-90
176342,No,Friedrichshain-Kreuzberg,Entire home/apt,6.0,300+,91-100
176355,No,Friedrichshain-Kreuzberg,Entire home/apt,4.0,300+,81-90
176396,No,Reinickendorf,Private room,1.0,0-50,91-100
176852,No,Friedrichshain-Kreuzberg,Entire home/apt,2.0,201-250,71-80
177486,No,Charlottenburg-Wilm.,Entire home/apt,2.0,151-200,91-100
178347,No,Neukölln,Entire home/apt,2.0,0-50,91-100
179102,Yes,Pankow,Entire home/apt,7+,300+,91-100
180440,Yes,Charlottenburg-Wilm.,Entire home/apt,1.0,0-50,91-100
181638,No,Mitte,Entire home/apt,2.0,151-200,91-100
181810,Yes,Friedrichshain-Kreuzberg,Entire home/apt,1.0,0-50,91-100
183206,Yes,Mitte,Entire home/apt,0.0,151-200,91-100
183988,Yes,Charlottenburg-Wilm.,Entire home/apt,2.0,300+,91-100
185960,No,Neukölln,Private room,0.0,300+,91-100
186663,No,Steglitz - Zehlendorf,Entire home/apt,3.0,300+,81-90
186717,No,Neukölln,Entire home/apt,1.0,251-300,81-90
186851,No,Tempelhof - Schöneberg,Entire home/apt,2.0,101-150,91-100
187326,Yes,Steglitz - Zehlendorf,Entire home/apt,1.0,51-100,91-100
188922,No,Pankow,Entire home/apt,2.0,0-50,81-90
189288,No,Pankow,Entire home/apt,2.0,300+,91-100
189596,No,Mitte,Entire home/apt,1.0,0-50,91-100
190448,No,Neukölln,Entire home/apt,1.0,251-300,91-100
191023,No,Mitte,Private room,1.0,0-50,91-100
192050,No,Pankow,Entire home/apt,4.0,51-100,91-100
192499,Yes,Friedrichshain-Kreuzberg,Private room,1.0,51-100,91-100
194124,No,Charlottenburg-Wilm.,Entire home/apt,1.0,300+,71-80
194374,No,Lichtenberg,Entire home/apt,4.0,300+,81-90
194465,Yes,Friedrichshain-Kreuzberg,Entire home/apt,0.0,151-200,91-100
194546,No,Mitte,Entire home/apt,4.0,0-50,81-90
194694,No,Lichtenberg,Private room,1.0,51-100,91-100
195413,No,Steglitz - Zehlendorf,Entire home/apt,4.0,300+,91-100
197291,No,Pankow,Entire home/apt,1.0,300+,91-100
198239,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,0-50,91-100
198584,Yes,Charlottenburg-Wilm.,Private room,1.0,300+,91-100
203634,No,Pankow,Entire home/apt,2.0,0-50,91-100
204609,No,Lichtenberg,Private room,2.0,51-100,91-100
205296,No,Neukölln,Entire home/apt,4.0,300+,91-100
206021,No,Charlottenburg-Wilm.,Private room,1.0,300+,81-90
206454,Yes,Mitte,Entire home/apt,1.0,0-50,91-100
207740,No,Friedrichshain-Kreuzberg,Entire home/apt,3.0,0-50,91-100
209649,Yes,Charlottenburg-Wilm.,Private room,1.0,300+,91-100
210734,Yes,Mitte,Entire home/apt,2.0,51-100,91-100
212470,No,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
214491,Yes,Mitte,Private room,1.0,300+,91-100
214518,No,Charlottenburg-Wilm.,Private room,1.0,300+,81-90
214855,No,Mitte,Private room,2.0,0-50,91-100
220445,Yes,Charlottenburg-Wilm.,Entire home/apt,2.0,300+,91-100
221015,Yes,Mitte,Entire home/apt,2.0,0-50,91-100
222784,Yes,Mitte,Entire home/apt,2.0,300+,91-100
223622,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,0-50,91-100
226108,Yes,Mitte,Entire home/apt,1.0,251-300,91-100
228964,No,Mitte,Private room,2.0,300+,91-100
229075,Yes,Friedrichshain-Kreuzberg,Entire home/apt,2.0,51-100,91-100
229099,Yes,Treptow - Köpenick,Private room,1.0,300+,91-100
229348,No,Mitte,Entire home/apt,2.0,300+,91-100
229363,No,Mitte,Entire home/apt,1.0,300+,91-100
229776,Yes,Mitte,Private room,1.0,300+,91-100
230611,No,Tempelhof - Schöneberg,Entire home/apt,0.0,201-250,91-100
230824,Yes,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
231220,Yes,Charlottenburg-Wilm.,Entire home/apt,1.0,151-200,91-100
231598,Yes,Tempelhof - Schöneberg,Entire home/apt,0.0,151-200,91-100
233083,Yes,Charlottenburg-Wilm.,Entire home/apt,0.0,51-100,91-100
233453,No,Neukölln,Private room,1.0,201-250,91-100
233770,Yes,Marzahn - Hellersdorf,Entire home/apt,4.0,0-50,91-100
234642,No,Reinickendorf,Entire home/apt,2.0,0-50,91-100
236509,No,Mitte,Entire home/apt,2.0,51-100,91-100
237359,No,Reinickendorf,Entire home/apt,2.0,251-300,91-100
237372,Yes,Pankow,Entire home/apt,4.0,300+,91-100
237670,No,Neukölln,Entire home/apt,1.0,151-200,91-100
238396,Yes,Pankow,Entire home/apt,1.0,51-100,91-100
239139,No,Mitte,Private room,2.0,0-50,91-100
240169,Yes,Neukölln,Private room,1.0,0-50,91-100
240735,Yes,Marzahn - Hellersdorf,Private room,1.0,251-300,91-100
242794,Yes,Friedrichshain-Kreuzberg,Entire home/apt,2.0,251-300,91-100
242927,No,Steglitz - Zehlendorf,Entire home/apt,2.0,300+,71-80
242978,No,Mitte,Entire home/apt,1.0,300+,81-90
243057,Yes,Mitte,Entire home/apt,2.0,300+,91-100
243063,No,Mitte,Entire home/apt,3.0,151-200,91-100
243081,No,Mitte,Entire home/apt,5.0,151-200,91-100
243238,No,Treptow - Köpenick,Entire home/apt,4.0,300+,81-90
245744,No,Mitte,Entire home/apt,6.0,151-200,81-90
245781,No,Friedrichshain-Kreuzberg,Entire home/apt,2.0,0-50,81-90
245809,No,Pankow,Entire home/apt,2.0,201-250,81-90
245827,No,Mitte,Entire home/apt,4.0,201-250,91-100
245991,No,Reinickendorf,Entire home/apt,0.0,51-100,91-100
246007,No,Reinickendorf,Entire home/apt,2.0,51-100,81-90
248192,No,Tempelhof - Schöneberg,Entire home/apt,3.0,51-100,81-90
249419,Yes,Pankow,Entire home/apt,1.0,151-200,91-100
250007,Yes,Tempelhof - Schöneberg,Entire home/apt,2.0,300+,91-100
250015,Yes,Charlottenburg-Wilm.,Entire home/apt,2.0,0-50,91-100
250023,Yes,Charlottenburg-Wilm.,Entire home/apt,3.0,151-200,81-90
250121,No,Pankow,Private room,1.0,0-50,91-100
250138,No,Pankow,Private room,1.0,300+,91-100
250171,No,Pankow,Private room,1.0,300+,71-80
250253,No,Charlottenburg-Wilm.,Entire home/apt,5.0,300+,81-90
250376,Yes,Friedrichshain-Kreuzberg,Private room,2.0,151-200,91-100
250684,No,Pankow,Private room,2.0,300+,91-100
250687,Yes,Tempelhof - Schöneberg,Entire home/apt,1.0,0-50,91-100
250704,No,Tempelhof - Schöneberg,Entire home/apt,0.0,0-50,91-100
250707,No,Charlottenburg-Wilm.,Entire home/apt,1.0,251-300,81-90
250729,No,Tempelhof - Schöneberg,Entire home/apt,3.0,300+,81-90
250753,No,Mitte,Entire home/apt,5.0,0-50,91-100
250871,No,Tempelhof - Schöneberg,Entire home/apt,0.0,0-50,81-90
251398,No,Spandau,Private room,0.0,101-150,91-100
252664,No,Mitte,Entire home/apt,2.0,51-100,91-100
252699,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,151-200,91-100
252933,No,Tempelhof - Schöneberg,Private room,1.0,300+,91-100
252967,Yes,Friedrichshain-Kreuzberg,Private room,3.0,201-250,91-100
252993,Yes,Friedrichshain-Kreuzberg,Private room,4.0,0-50,91-100
253005,Yes,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
253128,Yes,Neukölln,Private room,1.0,0-50,91-100
254551,No,Charlottenburg-Wilm.,Entire home/apt,3.0,201-250,91-100
254559,No,Charlottenburg-Wilm.,Entire home/apt,3.0,251-300,91-100
254762,No,Friedrichshain-Kreuzberg,Entire home/apt,2.0,201-250,81-90
254788,No,Friedrichshain-Kreuzberg,Entire home/apt,3.0,300+,81-90
255194,No,Charlottenburg-Wilm.,Entire home/apt,2.0,300+,below 70
255201,No,Charlottenburg-Wilm.,Entire home/apt,2.0,300+,below 70
255204,No,Charlottenburg-Wilm.,Entire home/apt,2.0,0-50,71-80
255205,No,Charlottenburg-Wilm.,Entire home/apt,3.0,300+,71-80
255368,No,Neukölln,Private room,1.0,0-50,81-90
255557,No,Friedrichshain-Kreuzberg,Entire home/apt,2.0,101-150,81-90
255722,No,Friedrichshain-Kreuzberg,Entire home/apt,5.0,300+,81-90
255778,No,Friedrichshain-Kreuzberg,Entire home/apt,2.0,300+,91-100
255829,No,Tempelhof - Schöneberg,Entire home/apt,3.0,300+,91-100
255912,No,Friedrichshain-Kreuzberg,Entire home/apt,2.0,251-300,81-90
256058,Yes,Friedrichshain-Kreuzberg,Private room,1.0,300+,91-100
257317,Yes,Steglitz - Zehlendorf,Entire home/apt,3.0,251-300,91-100
